entity_id,entity_name,line_item,FY2024,FY2025,FY2026
E01,BHP Group,Receipts from customers,9030266199.733294,9286848770.130972,10061486336.032804
E01,BHP Group,Payments to suppliers,-2091275620.75,-2211751003.28,-2394979495.81
E01,BHP Group,Payments to employees,-3142129.57,-2864428.52,-2738942.03
E01,BHP Group,Taxation paid,-6912309.44,-8290300.72,-5597955.5600000005
E01,BHP Group,Net cash from operating activities,6928936139.973294,7063943037.6109705,7658169942.632805
E01,BHP Group,Intragroup sweeps received,2214330873.69,2412574029.51,2808135514.31
E01,BHP Group,Intragroup sweeps paid,-2369646968.96,-2371640022.56,-2722821046.48
E01,BHP Group,Cross-border intragroup received,501383519.88,485010351.71,406274329.11
E01,BHP Group,Cross-border intragroup paid,-465151394.8,-532714662.31,-470875281.83
E01,BHP Group,Net intragroup and financing flows,-119083970.19,-6770303.649999738,20713515.109999955
E01,BHP Group,Net movement in cash,6809852169.783295,7057172733.960971,7678883457.742805
E01,BHP Group,Memo - gross cash inflows,11745980593.303293,12184433151.350971,13275896179.452805
E01,BHP Group,Memo - gross cash outflows,-4936128423.52,-5127260417.39,-5597012721.71
E01,BHP Group,Memo - foreign currency gross flows,2083260326.99,2174463452.4100003,2082856263.12
E01,BHP Group,Operating cash conversion,0.7673014268591483,0.7606393958228899,0.7611370414733758
E02,Glencore,Receipts from customers,2995478549.8797097,2806957445.2491302,3101572678.184198
E02,Glencore,Payments to suppliers,-1055848521.4899999,-1028656854.82,-1089978262.73
E02,Glencore,Payments to employees,-2010295.2,-1913974.92,-1889115.34
E02,Glencore,Taxation paid,-3474345.0,-4357878.78,-5378223.81
E02,Glencore,Net cash from operating activities,1934145388.18971,1772028736.72913,2004327076.304198
E02,Glencore,Intragroup sweeps received,662420999.07,670418901.52,770213805.36
E02,Glencore,Intragroup sweeps paid,-757793579.65,-661024906.26,-709387376.74
E02,Glencore,Cross-border intragroup received,499242633.90999997,640420646.77,549407571.17
E02,Glencore,Cross-border intragroup paid,-539470713.51,-537367201.18,-536367191.23
E02,Glencore,Net intragroup and financing flows,-135600660.17999995,112447440.85000002,73866808.55999994
E02,Glencore,Net movement in cash,1798544728.0097098,1884476177.5791302,2078193884.864198
E02,Glencore,Memo - gross cash inflows,4157142182.8597097,4117796993.53913,4421194054.714198
E02,Glencore,Memo - gross cash outflows,-2358597454.85,-2233320815.96,-2343000169.85
E02,Glencore,Memo - foreign currency gross flows,2377149590.63,2409957418.9500003,2323926326.28
E02,Glencore,Operating cash conversion,0.6456882785114184,0.6312987536481354,0.6462292792305685
E03,Anglo American,Receipts from customers,6260780163.5315485,5218024479.548811,4629634158.362787
E03,Anglo American,Payments to suppliers,-1587248959.42,-1326493943.74,-1111928996.25
E03,Anglo American,Payments to employees,-1687876.82,-1469075.65,-1994270.44
