entity_id,entity_name,line_item,FY2024,FY2025,FY2026
E01,BHP Group,Revenue - domestic collections,8484094526.973293,8759508690.860971,9446319820.622805
E01,BHP Group,Revenue - cross-border trade receipts,470997438.4,429675481.69,516902583.02
E01,BHP Group,Other operating income,75174234.36,97664597.58,98263932.39
E01,BHP Group,Total revenue,9030266199.733294,9286848770.130972,10061486336.032804
E01,BHP Group,Cost of sales - domestic suppliers,-1520721881.2,-1582352644.16,-1804439359.04
E01,BHP Group,Cost of sales - cross-border trade payments,-426533408.09,-511366300.74,-461753554.64
E01,BHP Group,Cost of sales and supplier payments,-1947255289.29,-2093718944.9,-2266192913.68
E01,BHP Group,Gross profit proxy,7083010910.443294,7193129825.230972,7795293422.352804
E01,BHP Group,Employee costs,-3142129.57,-2864428.52,-2738942.03
E01,BHP Group,Other operating expenses,-144020331.46,-118032058.38,-128786582.13
E01,BHP Group,EBITDA proxy,6935848449.413294,7072233338.330972,7663767898.192804
E01,BHP Group,Taxation paid,-6912309.44,-8290300.72,-5597955.5600000005
E01,BHP Group,Net cash earnings proxy,6928936139.973294,7063943037.610971,7658169942.632804
E01,BHP Group,Gross margin proxy,0.78436346767413,0.7745501195589651,0.7747655924787004
E01,BHP Group,EBITDA margin proxy,0.7680668870667559,0.761532088373959,0.7616934160857382
E01,BHP Group,Employee cost ratio,0.00034795536482554656,0.0003084392338995311,0.0002722204193818894
E01,BHP Group,Export revenue share,0.052157647181420935,0.04626709148876776,0.05137437608684486
E01,BHP Group,Effective cash tax rate,0.0009966061816971672,0.0011722323519880481,0.0007304442976828742
E01,BHP Group,Revenue growth,,0.02841362200432762,0.08341231617696598
E02,Glencore,Revenue - domestic collections,2309126143.94971,2200273074.38913,2520159111.2341976
E02,Glencore,Revenue - cross-border trade receipts,542293724.5600001,503159802.99,462105055.4
E02,Glencore,Other operating income,144058681.37,103524567.87,119308511.55
E02,Glencore,Total revenue,2995478549.8797097,2806957445.2491302,3101572678.184198
E02,Glencore,Cost of sales - domestic suppliers,-403764684.21,-403171654.68,-433240265.8
E02,Glencore,Cost of sales - cross-border trade payments,-553213846.4,-491489088.69,-537535375.73
E02,Glencore,Cost of sales and supplier payments,-956978530.6099999,-894660743.37,-970775641.53
E02,Glencore,Gross profit proxy,2038500019.2697098,1912296701.8791304,2130797036.654198
E02,Glencore,Employee costs,-2010295.2,-1913974.92,-1889115.34
E02,Glencore,Other operating expenses,-98869990.88,-133996111.45,-119202621.2
E02,Glencore,EBITDA proxy,1937619733.1897097,1776386615.5091302,2009705300.114198
E02,Glencore,Taxation paid,-3474345.0,-4357878.78,-5378223.81
E02,Glencore,Net cash earnings proxy,1934145388.1897097,1772028736.7291303,2004327076.304198
E02,Glencore,Gross margin proxy,0.6805256607000476,0.6812702861298295,0.6870053542971186
E02,Glencore,EBITDA margin proxy,0.6468481415991175,0.6328512812033272,0.6479633104360369
E02,Glencore,Employee cost ratio,0.0006711098632573175,0.0006818681641360351,0.0006090830478639547
E02,Glencore,Export revenue share,0.18103742541630855,0.17925451767771358,0.14899056167548438
E02,Glencore,Effective cash tax rate,0.001793099513019788,0.002453226534107266,0.002676125603935259
E02,Glencore,Revenue growth,,-0.06293522103109361,0.1049589239173232
E03,Anglo American,Revenue - domestic collections,5799202803.391548,4850805223.628811,4390844452.882788
E03,Anglo American,Revenue - cross-border trade receipts,347987153.88,297363060.5,205741111.37
E03,Anglo American,Other operating income,113590206.25999999,69856195.42,33048594.11
E03,Anglo American,Total revenue,6260780163.5315485,5218024479.548811,4629634158.362787
E03,Anglo American,Cost of sales - domestic suppliers,-1081801162.81,-944673571.28,-794944447.31
E03,Anglo American,Cost of sales - cross-border trade payments,-428711307.97,-321089503.85,-266951602.67
E03,Anglo American,Cost of sales and supplier payments,-1510512470.78,-1265763075.13,-1061896049.9799999
E03,Anglo American,Gross profit proxy,4750267692.751549,3952261404.418811,3567738108.382787
E03,Anglo American,Employee costs,-1687876.82,-1469075.65,-1994270.44
E03,Anglo American,Other operating expenses,-76736488.64,-60730868.61,-50032946.27
E03,Anglo American,EBITDA proxy,4671843327.291549,3890061460.1588106,3515710891.672787
E03,Anglo American,Taxation paid,-5136450.61,-5176276.76,-4540118.26
E03,Anglo American,Net cash earnings proxy,4666706876.681549,3884885183.3988104,3511170773.412787
E03,Anglo American,Gross margin proxy,0.7587341463323386,0.7574248491759764,0.7706306775748505
E03,Anglo American,EBITDA margin proxy,0.7462078535363043,0.7455046398124936,0.7593928097584443
E03,Anglo American,Employee cost ratio,0.00026959528619639495,0.0002815386657839189,0.0004307619936658773
E03,Anglo American,Export revenue share,0.0555820752031819,0.05698767065303462,0.04444003658439349
E03,Anglo American,Effective cash tax rate,0.0010994483868913907,0.0013306413826656301,0.0012913798659479067
E03,Anglo American,Revenue growth,,-0.16655363337251328,-0.11276112703037766
E04,AngloGold Ashanti,Revenue - domestic collections,967216736.1600657,965176426.4625632,1050012202.6940955
E04,AngloGold Ashanti,Revenue - cross-border trade receipts,214070985.05,211713115.03,227921139.12
E04,AngloGold Ashanti,Other operating income,45713219.74,44637881.35,33224755.759999998
E04,AngloGold Ashanti,Total revenue,1227000940.9500656,1221527422.8425632,1311158097.5740955
E04,AngloGold Ashanti,Cost of sales - domestic suppliers,-181350662.01,-178058989.11,-203745673.92
E04,AngloGold Ashanti,Cost of sales - cross-border trade payments,-190262833.1,-234878476.44,-169705364.87
E04,AngloGold Ashanti,Cost of sales and supplier payments,-371613495.11,-412937465.55,-373451038.78999996
E04,AngloGold Ashanti,Gross profit proxy,855387445.8400656,808589957.2925632,937707058.7840955
