entity_id,fiscal_quarter,entity_name,sector,tb_txn_count,tb_total_value_zar,tb_avg_txn_zar,tb_median_txn_zar,tb_net_flow_zar,intercompany_transfers,payments_to_employees,payments_to_suppliers,receipts_from_customers,taxes_paid,channel_Debit Order,channel_EFT,channel_Internal Transfer,channel_RTC,channel_SWIFT,net_operating_cash_flow,operating_margin_proxy,tf_instrument_count,tf_total_value_zar,tf_avg_value_zar,tf_net_trade_zar,tf_countries,tf_weighted_avg_tenor_days,tf_open_exposure_zar,tf_export_collections,tf_guarantees,tf_letters_of_credit,tf_export,tf_import,xb_txn_count,xb_total_value_zar,xb_net_fx_zar,xb_countries,xb_inflow_zar,xb_outflow_zar,fx_AED/ZAR,fx_CNY/ZAR,fx_EUR/ZAR,fx_GBP/ZAR,fx_USD/ZAR,xb_corridor_intercompany,xb_corridor_other,xb_corridor_trade,total_flow_zar,fx_dependence,tb_total_value_zar_index,tb_total_value_zar_yoy,tb_total_value_zar_share,tf_total_value_zar_index,tf_total_value_zar_yoy,tf_total_value_zar_share,xb_total_value_zar_index,xb_total_value_zar_yoy,xb_total_value_zar_share,total_flow_zar_index,total_flow_zar_yoy,total_flow_zar_share
E01,FY2024Q1,BHP Group,mining,9783,3736521448.7941713,381940.2482668068,156676.85532608372,1708514747.534171,1206335739.14,876877.52,376598383.23,2151365474.9841714,1344973.92,375543204.35744387,1672305034.9063754,568953704.6028657,742916241.4922976,376803263.4351885,1772545240.3141713,0.8239163735428137,108.0,277460986.35,2569083.2069444447,-44183899.39,11.0,93.13967045623168,142314252.09,83814201.7,65214250.46,128432534.19,116638543.48,160822442.87,630,543684211.49,377614.65000000235,11,272030913.07,271653298.42,82410000.5,101388648.17999999,110785229.15,122355890.71,126744442.95,264038994.97,47758211.17,231887005.35,4557666646.6341715,0.1192900344941879,100.0,,0.10835230482979477,100.0,,0.09272015432329492,100.0,,0.047440662118096014,100.0,,0.0931320461278302
E01,FY2024Q2,BHP Group,mining,9799,3562854051.7312317,363593.63728250144,150700.04574732066,1559426365.491232,1120793283.03,630895.14,374900714.03,2064567267.451232,1961892.08,323844466.8715525,1663569725.3955493,541005977.6687127,693802434.3553965,340631447.44002086,1687073766.201232,0.81715611440647,94.0,283318705.3,3014028.779787234,-109764966.36,11.0,90.37904200584387,171157922.83,67007366.59,60150425.330000006,156160913.38,86776869.47,196541835.83,562,488077398.78,-20641149.84,11,233718124.47,254359274.31,113813809.02,118319820.46,74751420.98,100073785.25,81118563.07000001,227975730.07,48706031.39,211395637.32,4334250155.811232,0.11260942059968564,95.35216378541104,-0.04647836214588963,0.0889307602471473,102.11118652285435,0.02111186522854358,0.08958530067078505,89.77222226895165,-0.10227777731048349,0.046066931605532685,95.09800720094498,-0.04901992799055033,0.0805312011782962
E01,FY2024Q3,BHP Group,mining,9519,3523650633.3683486,370170.2524811796,152151.3954249644,1724758442.2683487,1097784912.8,578891.71,366667278.64,2056763476.0083487,1856074.21,345520242.1832162,1639832326.9317238,529478961.67052126,684317906.501646,324501196.08124113,1687661231.4483488,0.8205422019276942,107.0,374268700.32,3497838.3207476633,-6539494.959999995,10.0,101.09970422813369,163863374.68,115003025.63,143666988.98000002,115598685.71000001,183864602.68,190404097.64000002,564,565659421.82,26416444.400000002,11,296037933.11,269621488.71,119085636.72,150785695.76,136091963.29,74918363.94,84777762.11,235823058.71,71022423.78,258813939.33,4463578755.508348,0.1267277789423877,94.30296819266167,-0.011003374764631091,0.1178095471792433,134.89056794740972,0.32101655597958145,0.12117938615341002,104.04190702352302,0.15895434460584412,0.05450403115662532,97.93561270666193,0.029838748352749578,0.10290297652528575
E01,FY2024Q4,BHP Group,mining,10334,3775822555.9395413,365378.6100193092,152683.9637085378,1805302556.1995416,1159063907.68,1055465.2,402555505.3,2211398308.5295415,1749369.23,347575712.50318,1697599913.4339828,589076795.5526097,742491502.4282855,399078632.0214836,1806037968.7995415,0.8166950123066964,109.0,269165747.06,2469410.5234862384,-56840055.42,11.0,132.6446660545605,92249980.88,73166328.55,66197736.09,129801682.42,106162845.82,163002901.24,553,485839294.9,5697149.079999998,11,245768221.99,240071072.91,95758244.01,94038265.07,81534642.36,111291175.42,103216968.03999999,238697130.93,51707899.48,195434264.49,4530827597.899541,0.10722970238930114,101.05181002394762,0.07156552927897253,0.11185032177307429,97.01030425966407,-0.2808221824858368,0.08941360308659661,89.3605671513851,-0.1411098690147865,0.04684222809355892,99.41112304133847,0.015066126548837655,0.09611432361629693
E01,FY2025Q1,BHP Group,mining,10144,3822561159.1803856,376829.7672693598,157248.74217876568,1811255203.4603856,1234434669.61,721055.87,413977018.88,2172083472.2803855,1344942.54,381618426.92831516,1686102239.2549148,557517393.6569923,778197963.5464795,419125135.79368377,1756040454.9903855,0.8084590106230067,90.0,262624614.16,2918051.2684444445,2888653.4800000023,11.0,113.79496539114497,115869300.75,49622046.330000006,107163497.15,105839070.68,132756633.82000001,129867980.34,570,507427936.57,-54881130.45,11,226273403.06,281154533.51,98642309.2,115897728.04,113280735.68,91481470.84,88125692.81,246234961.19,42992529.03,218200446.35,4592613709.910385,0.1104878329904,102.30266871381083,0.012378389754392094,0.11504277537584373,94.65280781086648,-0.02430150556468058,0.08038154237869452,93.33137248539231,0.04443576692256568,0.0466671078184134,100.76677532574749,0.013636826976044736,0.09695628292431743
E01,FY2025Q2,BHP Group,mining,10283,3911717986.9729986,380406.3003960905,154079.63,1913056354.6529984,1190390319.95,751254.39,396063551.93,2321565746.3329988,2947114.37,381565543.3889684,1803145751.815638,634166214.4237679,698294906.1056284,394545571.2389957,1921803825.6429987,0.8278050400590897,111.0,347631949.72,3131819.366846847,75865925.04,11.0,96.26362106116486,184136381.74,57173988.03,79644523.11,210813438.58,211748937.38,135883012.34,574,467337103.3,-4303203.0,11,231516950.15,235820153.15,125319985.75,80207077.99,97695128.82000001,81356571.52,82758339.22,188976447.75,55680701.69,222679953.86,4726687039.992999,0.0988720216392182,104.68876040402138,0.02332384599746451,0.10020362008180497,125.29038921583145,0.323683809424697,0.11208217181518443,85.95745350398055,-0.07900793468526235,0.04356599011848866,103.70848520664953,0.02919325215471469,0.08940818259890379
E01,FY2025Q3,BHP Group,mining,9992,3757047140.4735866,376005.51846212836,153117.35731990516,1732419500.1535866,1207918937.07,660268.41,394741549.9,2151369944.2935867,2356440.8,391940720.00526553,1680320399.7631505,570461406.4371576,736850071.2424555,377474543.02555776,1753611685.1835866,0.815113964864557,115.0,323891307.75,2816446.1543478263,30923174.210000005,11.0,111.5882474024189,131940557.93,73440347.88,112131096.68,138319863.19,177407240.98,146484066.77,578,574735964.4,-42425428.900000006,11,266155267.75,308580696.65,84091719.39,158203036.45,115933375.38,127323021.2,89184811.98,302822694.26,51646875.15,220266394.99,4655674412.623587,0.12344848747189822,100.54932621050627,-0.039540387884429484,0.12932400546813652,116.73399997988581,-0.06829246272997036,0.10333793616794532,105.71135822114472,0.22981025974960279,0.050168956037518996,102.15039347078606,-0.015023763318486538,0.10667942104054502
E01,FY2025Q4,BHP Group,mining,9873,3645903829.7040005,369280.24204436346,151643.72,1750204266.1440005,1151470125.44,731849.85,377570523.45,2114489527.9540005,1641803.01,346084345.4803689,1724058602.9316196,558414816.0185347,683630632.5475515,333715432.72592574,1734545351.6440005,0.8203139948025009,102.0,344558535.46,3378024.85745098,-33401308.480000008,11.0,95.13321783579885,137236381.39,45578040.54,140045556.55,158934938.37,155578613.49,188979921.97,689,624962448.14,-48152828.099999994,11,288404810.02,336557638.12,97590321.11,111341409.76,108307211.32000001,141433538.46,166289967.49,279690910.82,65376550.089999996,279894987.23,4615424813.304001,0.13540735109334692,97.57481335696829,-0.029582623431117283,0.11445828225327792,124.18269681538598,0.06380914589394382,0.11098733529569518,114.94953043187552,0.0873905355695539,0.05021640654996077,101.2672749270174,-0.008645277945221297,0.09736478699641496
E01,FY2026Q1,BHP Group,mining,10349,3884777578.176677,375377.0971279039,152614.12,1796308760.3566773,1282654281.36,900055.36,418196924.5,2182243786.466677,782530.49,395185679.188193,1759791260.0317664,555958697.5150096,779289133.1941416,394552808.24756664,1762364276.1166773,0.8075927570723723,112.0,362788783.52,3239185.567142857,25325400.220000006,11.0,102.88499321477038,182678752.07,17318284.3,106932462.72,238538036.5,194057091.87,168731691.65,514,415060005.95,-25274838.93,11,194892583.51,220167422.44,77094393.56,74911135.85,78287865.21,78675254.75,106091356.58,171541137.33,56920982.31,186597886.31,4662626367.646677,0.08901850013761435,103.96775801809864,0.0655183898506917,0.12017049019149441,130.75307930404463,0.0529090014724547,0.10759239971552019,76.3421113172484,-0.3358640872178916,0.039230435001655614,102.30292667608805,0.010226914369099394,0.10075004386415215
E01,FY2026Q2,BHP Group,mining,10842,4088210469.6147923,377071.61682482867,154231.43751925055,1785090869.3347921,1424267608.76,619943.17,445954431.19,2215578754.8447924,1789731.65,376884057.5029334,1721161630.5414743,667084817.1912845,862711655.4897397,460368308.8893602,1767214648.8347924,0.79763115843679,104.0,397789007.84,3824894.306153846,-28480941.399999995,11.0,105.04145050045383,225272247.95,85616478.96,206018225.0,106154303.88,184654033.22,213134974.62,551,556747300.69,-2310052.289999999,11,277218624.2,279528676.49,110742144.36,124384352.64,126179232.72,86918551.0,108523019.97,236827902.57,61776718.82,258142679.3,5042746778.144793,0.11040556371042395,109.41220398812688,0.05236667668721373,0.1056523865341534,143.36754621718728,0.09647548631577374,0.11962428930857179,102.40269791248855,0.34136580906103586,0.04993100204421759,110.64316829465471,0.08152495622118017,0.09484093693256995
