dataset,entity_id,log10_value,txn_count
transactional_banking,E01,2.0875,0
transactional_banking,E01,2.2625,0
transactional_banking,E01,2.4375,0
transactional_banking,E01,2.6125,0
transactional_banking,E01,2.7875,0
transactional_banking,E01,2.9625,1
transactional_banking,E01,3.1374999999999997,8
transactional_banking,E01,3.3125,22
transactional_banking,E01,3.4875,84
transactional_banking,E01,3.6625,229
transactional_banking,E01,3.8375,705
transactional_banking,E01,4.012499999999999,1666
transactional_banking,E01,4.1875,3268
transactional_banking,E01,4.3625,5495
transactional_banking,E01,4.5375,8324
transactional_banking,E01,4.7125,11202
transactional_banking,E01,4.887499999999999,13403
transactional_banking,E01,5.0625,14764
transactional_banking,E01,5.2375,14833
transactional_banking,E01,5.4125,13605
transactional_banking,E01,5.5875,11801
transactional_banking,E01,5.762499999999999,9332
transactional_banking,E01,5.9375,6525
transactional_banking,E01,6.112499999999999,4410
transactional_banking,E01,6.2875,2599
transactional_banking,E01,6.4625,1394
transactional_banking,E01,6.637499999999999,655
transactional_banking,E01,6.8125,277
transactional_banking,E01,6.987499999999999,88
transactional_banking,E01,7.1625,34
transactional_banking,E01,7.3375,9
transactional_banking,E01,7.512499999999999,6
transactional_banking,E01,7.6875,0
transactional_banking,E01,7.862499999999999,2
transactional_banking,E01,8.0375,0
transactional_banking,E01,8.2125,0
transactional_banking,E01,8.3875,0
transactional_banking,E01,8.5625,0
transactional_banking,E01,8.737499999999999,0
transactional_banking,E01,8.9125,0
transactional_banking,E02,2.0875,0
transactional_banking,E02,2.2625,0
transactional_banking,E02,2.4375,0
transactional_banking,E02,2.6125,0
transactional_banking,E02,2.7875,0
transactional_banking,E02,2.9625,0
transactional_banking,E02,3.1374999999999997,0
transactional_banking,E02,3.3125,2
transactional_banking,E02,3.4875,4
transactional_banking,E02,3.6625,9
transactional_banking,E02,3.8375,41
transactional_banking,E02,4.012499999999999,95
transactional_banking,E02,4.1875,226
transactional_banking,E02,4.3625,501
transactional_banking,E02,4.5375,909
transactional_banking,E02,4.7125,1267
transactional_banking,E02,4.887499999999999,1805
transactional_banking,E02,5.0625,2142
transactional_banking,E02,5.2375,2419
transactional_banking,E02,5.4125,2533
transactional_banking,E02,5.5875,2375
transactional_banking,E02,5.762499999999999,1952
transactional_banking,E02,5.9375,1677
transactional_banking,E02,6.112499999999999,1168
transactional_banking,E02,6.2875,772
transactional_banking,E02,6.4625,472
transactional_banking,E02,6.637499999999999,261
transactional_banking,E02,6.8125,127
transactional_banking,E02,6.987499999999999,59
transactional_banking,E02,7.1625,19
transactional_banking,E02,7.3375,7
transactional_banking,E02,7.512499999999999,2
transactional_banking,E02,7.6875,3
transactional_banking,E02,7.862499999999999,0
transactional_banking,E02,8.0375,0
transactional_banking,E02,8.2125,0
transactional_banking,E02,8.3875,0
transactional_banking,E02,8.5625,0
transactional_banking,E02,8.737499999999999,0
transactional_banking,E02,8.9125,0
transactional_banking,E03,2.0875,0
transactional_banking,E03,2.2625,0
transactional_banking,E03,2.4375,0
transactional_banking,E03,2.6125,0
transactional_banking,E03,2.7875,0
transactional_banking,E03,2.9625,3
transactional_banking,E03,3.1374999999999997,15
transactional_banking,E03,3.3125,44
transactional_banking,E03,3.4875,152
transactional_banking,E03,3.6625,423
transactional_banking,E03,3.8375,917
transactional_banking,E03,4.012499999999999,2084
transactional_banking,E03,4.1875,3669
transactional_banking,E03,4.3625,5663
transactional_banking,E03,4.5375,7860
transactional_banking,E03,4.7125,9791
transactional_banking,E03,4.887499999999999,10849
transactional_banking,E03,5.0625,11220
transactional_banking,E03,5.2375,10438
transactional_banking,E03,5.4125,9387
transactional_banking,E03,5.5875,7650
transactional_banking,E03,5.762499999999999,5730
transactional_banking,E03,5.9375,3765
transactional_banking,E03,6.112499999999999,2236
transactional_banking,E03,6.2875,1253
transactional_banking,E03,6.4625,618
transactional_banking,E03,6.637499999999999,260
transactional_banking,E03,6.8125,93
transactional_banking,E03,6.987499999999999,35
transactional_banking,E03,7.1625,9
transactional_banking,E03,7.3375,3
transactional_banking,E03,7.512499999999999,2
transactional_banking,E03,7.6875,0
transactional_banking,E03,7.862499999999999,0
transactional_banking,E03,8.0375,0
transactional_banking,E03,8.2125,0
transactional_banking,E03,8.3875,0
transactional_banking,E03,8.5625,0
transactional_banking,E03,8.737499999999999,0
transactional_banking,E03,8.9125,0
transactional_banking,E04,2.0875,0
transactional_banking,E04,2.2625,0
transactional_banking,E04,2.4375,0
transactional_banking,E04,2.6125,0
transactional_banking,E04,2.7875,0
